name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Madrid,2008-07-01,34,18.6,26.8,31.7,18.6,26,7.6,33.3,0,0,0,,0,0,,17.2,243.5,1015.7,22.8,19.2,,,,,2008-07-01T06:48:26,2008-07-01T21:48:46,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,08227099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-07-02,28.8,15.9,23.1,27.9,15.9,23,7.5,37.5,0,0,0,,0,0,,34.1,255.6,1013.5,48.3,20,,,,,2008-07-02T06:48:57,2008-07-02T21:48:37,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,08227099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-07-03,27.2,13.7,20.8,26.3,13.7,20.7,4.3,35.9,0,0,0,,0,0,,12.4,316.5,1015.4,21.6,19.6,,,,,2008-07-03T06:49:29,2008-07-03T21:48:26,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,08227099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-07-04,31.7,12.5,23.1,29.6,12.5,22.4,4.9,33.9,0,0,0,,0,0,,20.1,267.3,1017.6,1.4,20.2,,,,,2008-07-04T06:50:02,2008-07-04T21:48:13,0.04,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-07-05,32.3,16.6,25.7,30.7,16.6,25.1,10.3,39.9,0,0,0,,0,0,,27.2,246.8,1015.9,14.2,19.2,,,,,2008-07-05T06:50:37,2008-07-05T21:47:58,0.08,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,08227099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-07-06,28.9,18.3,24.4,27.5,18.3,24.1,8.5,38.3,0.115,100,4.17,rain,0,0,,22.9,237.9,1013.5,8.9,20.5,,,,,2008-07-06T06:51:13,2008-07-06T21:47:40,0.11,Rain,Clear conditions throughout the day with morning rain.,rain,"08221099999,08227099999,08224099999,08213099999,08219099999,08223099999,08215099999"
Madrid,2008-07-07,28.1,12.7,21.3,26.8,12.7,21.2,3.8,33.2,0,0,0,,0,0,,17.5,289.3,1015.3,6.4,20.1,,,,,2008-07-07T06:51:50,2008-07-07T21:47:21,0.14,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-07-08,31.4,13,22.5,29.3,13,21.9,3.1,30.7,0,0,0,,0,0,,14.3,303.3,1018.4,33.6,19.1,,,,,2008-07-08T06:52:29,2008-07-08T21:47:00,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-07-09,33.2,15.9,24.7,30.8,15.9,23.9,6,34.2,0,0,0,,0,0,,19.4,274.6,1019,6,19.3,,,,,2008-07-09T06:53:09,2008-07-09T21:46:37,0.21,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
Madrid,2008-07-10,33.5,15.2,25.6,31.1,15.2,24.6,3,26.6,0,0,0,,0,0,,24,252,1017.1,23.7,19.2,,,,,2008-07-10T06:53:50,2008-07-10T21:46:12,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08227099999,08224099999,08226099999,08219099999,08213099999,08223099999,08215099999"
